
Memory Usage at After Clearing GPU Memory:
  Allocated: 0.00 GiB
  Reserved: 0.00 GiB
  Free: 11.35 GiB
  Total: 11.35 GiB

Memory Usage at After Loading Base Model:
  Allocated: 6.43 GiB
  Reserved: 7.22 GiB
  Free: 4.93 GiB
  Total: 11.35 GiB

Memory Usage at After Applying LoRA:
  Allocated: 6.44 GiB
  Reserved: 7.23 GiB
  Free: 4.91 GiB
  Total: 11.35 GiB
{'loss': 3.9301, 'grad_norm': 3.4515719413757324, 'learning_rate': 9.947397563676634e-05, 'epoch': 0.04}
{'loss': 0.2832, 'grad_norm': 1.3479083776474, 'learning_rate': 4.631782945736434e-05, 'epoch': 3.76}
{'loss': 0.2975, 'grad_norm': 1.9166922569274902, 'learning_rate': 4.5764119601328906e-05, 'epoch': 3.8}
{'loss': 0.2907, 'grad_norm': 1.7118182182312012, 'learning_rate': 4.521040974529347e-05, 'epoch': 3.84}
{'loss': 0.2963, 'grad_norm': 1.7532963752746582, 'learning_rate': 4.465669988925803e-05, 'epoch': 3.88}
{'loss': 0.2751, 'grad_norm': 1.6150151491165161, 'learning_rate': 4.410299003322259e-05, 'epoch': 3.92}
{'loss': 0.2972, 'grad_norm': 1.8211289644241333, 'learning_rate': 4.3549280177187155e-05, 'epoch': 3.95}
{'loss': 0.2903, 'grad_norm': 2.455794095993042, 'learning_rate': 4.299557032115172e-05, 'epoch': 3.99}
{'eval_loss': 0.3040972054004669, 'eval_runtime': 19.9443, 'eval_samples_per_second': 23.014, 'eval_steps_per_second': 11.532, 'epoch': 4.0}
{'loss': 0.275, 'grad_norm': 1.5673716068267822, 'learning_rate': 4.2441860465116276e-05, 'epoch': 4.03}
{'loss': 0.2715, 'grad_norm': 1.8092011213302612, 'learning_rate': 4.1888150609080846e-05, 'epoch': 4.07}
{'loss': 0.2725, 'grad_norm': 1.5679922103881836, 'learning_rate': 4.1334440753045404e-05, 'epoch': 4.11}
{'loss': 0.2873, 'grad_norm': 1.5703378915786743, 'learning_rate': 4.078073089700997e-05, 'epoch': 4.15}
{'loss': 0.2687, 'grad_norm': 2.298922061920166, 'learning_rate': 4.022702104097453e-05, 'epoch': 4.19}
{'loss': 0.267, 'grad_norm': 1.642804741859436, 'learning_rate': 3.9673311184939095e-05, 'epoch': 4.23}
{'loss': 0.278, 'grad_norm': 1.380547046661377, 'learning_rate': 3.911960132890365e-05, 'epoch': 4.26}
{'loss': 0.2697, 'grad_norm': 1.6902618408203125, 'learning_rate': 3.856589147286822e-05, 'epoch': 4.3}
{'loss': 0.28, 'grad_norm': 1.4874401092529297, 'learning_rate': 3.801218161683278e-05, 'epoch': 4.34}
{'loss': 0.2913, 'grad_norm': 2.3534297943115234, 'learning_rate': 3.7458471760797344e-05, 'epoch': 4.38}
{'loss': 0.2625, 'grad_norm': 1.5346248149871826, 'learning_rate': 3.690476190476191e-05, 'epoch': 4.42}
{'loss': 0.2917, 'grad_norm': 1.5383343696594238, 'learning_rate': 3.635105204872647e-05, 'epoch': 4.46}
{'loss': 0.2979, 'grad_norm': 1.3972160816192627, 'learning_rate': 3.579734219269103e-05, 'epoch': 4.5}
{'loss': 0.2715, 'grad_norm': 2.2480764389038086, 'learning_rate': 3.52436323366556e-05, 'epoch': 4.54}
{'loss': 0.2816, 'grad_norm': 2.10311222076416, 'learning_rate': 3.468992248062016e-05, 'epoch': 4.57}
{'loss': 0.3032, 'grad_norm': 1.7491837739944458, 'learning_rate': 3.413621262458472e-05, 'epoch': 4.61}
{'loss': 0.2857, 'grad_norm': 1.9817237854003906, 'learning_rate': 3.3582502768549285e-05, 'epoch': 4.65}
{'loss': 0.2776, 'grad_norm': 1.4405760765075684, 'learning_rate': 3.302879291251385e-05, 'epoch': 4.69}
{'loss': 0.2606, 'grad_norm': 1.8360974788665771, 'learning_rate': 3.2475083056478406e-05, 'epoch': 4.73}
{'loss': 0.2821, 'grad_norm': 1.8022756576538086, 'learning_rate': 3.192137320044297e-05, 'epoch': 4.77}
{'loss': 0.2787, 'grad_norm': 2.3055410385131836, 'learning_rate': 3.136766334440753e-05, 'epoch': 4.81}
{'loss': 0.2694, 'grad_norm': 1.8339594602584839, 'learning_rate': 3.081395348837209e-05, 'epoch': 4.85}
{'loss': 0.2746, 'grad_norm': 1.6798394918441772, 'learning_rate': 3.0260243632336654e-05, 'epoch': 4.88}
{'loss': 0.2927, 'grad_norm': 1.669919490814209, 'learning_rate': 2.970653377630122e-05, 'epoch': 4.92}
{'loss': 0.2834, 'grad_norm': 1.9375663995742798, 'learning_rate': 2.9152823920265782e-05, 'epoch': 4.96}
{'loss': 0.264, 'grad_norm': 2.094762086868286, 'learning_rate': 2.8599114064230343e-05, 'epoch': 5.0}
{'eval_loss': 0.29827743768692017, 'eval_runtime': 19.9384, 'eval_samples_per_second': 23.021, 'eval_steps_per_second': 11.536, 'epoch': 5.0}
{'loss': 0.274, 'grad_norm': 1.857050895690918, 'learning_rate': 2.804540420819491e-05, 'epoch': 5.04}
{'loss': 0.2796, 'grad_norm': 1.822882056236267, 'learning_rate': 2.749169435215947e-05, 'epoch': 5.08}
{'loss': 0.2686, 'grad_norm': 1.6423866748809814, 'learning_rate': 2.693798449612403e-05, 'epoch': 5.12}
{'loss': 0.2653, 'grad_norm': 2.3549230098724365, 'learning_rate': 2.6384274640088595e-05, 'epoch': 5.16}
{'loss': 0.2698, 'grad_norm': 1.8742951154708862, 'learning_rate': 2.583056478405316e-05, 'epoch': 5.19}
{'loss': 0.2713, 'grad_norm': 1.70578932762146, 'learning_rate': 2.527685492801772e-05, 'epoch': 5.23}
{'loss': 0.2734, 'grad_norm': 1.7160779237747192, 'learning_rate': 2.4723145071982283e-05, 'epoch': 5.27}
{'loss': 0.2729, 'grad_norm': 1.7535512447357178, 'learning_rate': 2.4169435215946844e-05, 'epoch': 5.31}
{'loss': 0.2735, 'grad_norm': 1.712807536125183, 'learning_rate': 2.3615725359911408e-05, 'epoch': 5.35}
{'loss': 0.2679, 'grad_norm': 2.2942709922790527, 'learning_rate': 2.3062015503875968e-05, 'epoch': 5.39}
{'loss': 0.2598, 'grad_norm': 1.7564008235931396, 'learning_rate': 2.2508305647840532e-05, 'epoch': 5.43}
{'loss': 0.2627, 'grad_norm': 1.7157646417617798, 'learning_rate': 2.1954595791805096e-05, 'epoch': 5.47}
{'loss': 0.2718, 'grad_norm': 1.7243503332138062, 'learning_rate': 2.1400885935769656e-05, 'epoch': 5.5}
{'loss': 0.2833, 'grad_norm': 2.0589945316314697, 'learning_rate': 2.084717607973422e-05, 'epoch': 5.54}
{'loss': 0.2697, 'grad_norm': 1.618424654006958, 'learning_rate': 2.029346622369878e-05, 'epoch': 5.58}
{'loss': 0.2744, 'grad_norm': 2.081120729446411, 'learning_rate': 1.9739756367663345e-05, 'epoch': 5.62}
{'loss': 0.2641, 'grad_norm': 1.9440948963165283, 'learning_rate': 1.918604651162791e-05, 'epoch': 5.66}
{'loss': 0.2592, 'grad_norm': 2.359866142272949, 'learning_rate': 1.863233665559247e-05, 'epoch': 5.7}
{'loss': 0.2738, 'grad_norm': 1.859697937965393, 'learning_rate': 1.8078626799557033e-05, 'epoch': 5.74}
{'loss': 0.2538, 'grad_norm': 1.5450409650802612, 'learning_rate': 1.7524916943521597e-05, 'epoch': 5.78}
{'loss': 0.2647, 'grad_norm': 2.076983690261841, 'learning_rate': 1.6971207087486157e-05, 'epoch': 5.81}
{'loss': 0.2546, 'grad_norm': 2.048391342163086, 'learning_rate': 1.641749723145072e-05, 'epoch': 5.85}
{'loss': 0.2656, 'grad_norm': 1.9917200803756714, 'learning_rate': 1.5863787375415285e-05, 'epoch': 5.89}
{'loss': 0.2544, 'grad_norm': 1.6179685592651367, 'learning_rate': 1.5310077519379846e-05, 'epoch': 5.93}
{'loss': 0.2585, 'grad_norm': 2.423096179962158, 'learning_rate': 1.475636766334441e-05, 'epoch': 5.97}
{'eval_loss': 0.29677173495292664, 'eval_runtime': 19.9361, 'eval_samples_per_second': 23.024, 'eval_steps_per_second': 11.537, 'epoch': 6.0}
{'loss': 0.2532, 'grad_norm': 1.8921328783035278, 'learning_rate': 1.420265780730897e-05, 'epoch': 6.01}
{'loss': 0.2558, 'grad_norm': 2.229633331298828, 'learning_rate': 1.3648947951273532e-05, 'epoch': 6.05}
{'loss': 0.2557, 'grad_norm': 1.8378190994262695, 'learning_rate': 1.3095238095238096e-05, 'epoch': 6.09}
{'loss': 0.2601, 'grad_norm': 2.100985527038574, 'learning_rate': 1.2541528239202657e-05, 'epoch': 6.12}
{'loss': 0.2607, 'grad_norm': 1.5633518695831299, 'learning_rate': 1.198781838316722e-05, 'epoch': 6.16}
{'loss': 0.2658, 'grad_norm': 1.5931864976882935, 'learning_rate': 1.1434108527131783e-05, 'epoch': 6.2}
{'loss': 0.2656, 'grad_norm': 1.908142328262329, 'learning_rate': 1.0880398671096347e-05, 'epoch': 6.24}
{'loss': 0.2616, 'grad_norm': 1.7019773721694946, 'learning_rate': 1.0326688815060909e-05, 'epoch': 6.28}
{'loss': 0.2781, 'grad_norm': 2.0713329315185547, 'learning_rate': 9.772978959025471e-06, 'epoch': 6.32}
{'loss': 0.2513, 'grad_norm': 1.615563154220581, 'learning_rate': 9.219269102990033e-06, 'epoch': 6.36}
{'loss': 0.2549, 'grad_norm': 1.912036657333374, 'learning_rate': 8.665559246954597e-06, 'epoch': 6.4}
{'loss': 0.2612, 'grad_norm': 1.6774269342422485, 'learning_rate': 8.11184939091916e-06, 'epoch': 6.43}
{'loss': 0.2584, 'grad_norm': 2.2726988792419434, 'learning_rate': 7.558139534883721e-06, 'epoch': 6.47}
{'loss': 0.2591, 'grad_norm': 1.759427785873413, 'learning_rate': 7.0044296788482845e-06, 'epoch': 6.51}
{'loss': 0.2559, 'grad_norm': 1.771435022354126, 'learning_rate': 6.450719822812847e-06, 'epoch': 6.55}
{'loss': 0.256, 'grad_norm': 1.8536596298217773, 'learning_rate': 5.897009966777409e-06, 'epoch': 6.59}
{'loss': 0.264, 'grad_norm': 1.4830536842346191, 'learning_rate': 5.343300110741971e-06, 'epoch': 6.63}
{'loss': 0.2523, 'grad_norm': 1.490607500076294, 'learning_rate': 4.789590254706533e-06, 'epoch': 6.67}
{'loss': 0.2573, 'grad_norm': 2.0043234825134277, 'learning_rate': 4.235880398671096e-06, 'epoch': 6.71}
{'loss': 0.2604, 'grad_norm': 1.9544789791107178, 'learning_rate': 3.6821705426356594e-06, 'epoch': 6.74}
{'loss': 0.258, 'grad_norm': 2.0533411502838135, 'learning_rate': 3.1284606866002216e-06, 'epoch': 6.78}
{'loss': 0.2601, 'grad_norm': 2.049853801727295, 'learning_rate': 2.5747508305647842e-06, 'epoch': 6.82}
{'loss': 0.2446, 'grad_norm': 2.2803122997283936, 'learning_rate': 2.021040974529347e-06, 'epoch': 6.86}
{'loss': 0.2466, 'grad_norm': 1.974682092666626, 'learning_rate': 1.4673311184939093e-06, 'epoch': 6.9}
{'loss': 0.2559, 'grad_norm': 1.4917097091674805, 'learning_rate': 9.136212624584719e-07, 'epoch': 6.94}
{'loss': 0.2515, 'grad_norm': 2.1329987049102783, 'learning_rate': 3.5991140642303437e-07, 'epoch': 6.98}
{'eval_loss': 0.29566529393196106, 'eval_runtime': 19.9359, 'eval_samples_per_second': 23.024, 'eval_steps_per_second': 11.537, 'epoch': 7.0}
{'train_runtime': 3528.3415, 'train_samples_per_second': 8.182, 'train_steps_per_second': 1.024, 'train_loss': 0.36527095291173606, 'epoch': 7.0}
Input: Category: music, Subcategory: queue, Action: add, Sentence: Insert track in queue at 7 PM
Expected: Song will be added to queue at 7 PM.
Generated: 1 track will be added to the queue in one hour
ROUGE-L Score: 50.00%
BERTScore: 93.06%

Input: Category: music, Subcategory: power, Action: turnon, Sentence: Switch on music tonight
Expected: Music switched on tonight.
Generated: music powered tonight.
ROUGE-L Score: 57.14%
BERTScore: 91.86%

Input: Category: music, Subcategory: playlist, Action: create, Sentence: Initiate new playlist
Expected: New playlist initiated
Generated: New playlist initiated.
ROUGE-L Score: 100.00%
BERTScore: 97.98%

Input: Category: camera, Subcategory: library, Action: on, Sentence: Launch camera now
Expected: Camera launched now
Generated: Camera launched now in library.
ROUGE-L Score: 75.00%
BERTScore: 95.22%

Input: Category: shutters, Subcategory: kitchen, Action: up, Sentence: Elevate kitchen blinds
Expected: Blinds elevated
Generated: Blinds elevated in the kitchen
ROUGE-L Score: 57.14%
BERTScore: 93.95%

Input: Category: camera, Subcategory: toilet, Action: on, Sentence: Reactivate toilet camera
Expected: Toilet camera reactivated
Generated: Toilet camera reactivated.
ROUGE-L Score: 100.00%
BERTScore: 98.00%

Input: Category: lights, Subcategory: basement, Action: on, Sentence: Enable basement lights "next Monday, June 9"
Expected: Basement lights will be turned on next Monday.
Generated: Basement lights will be turned on next Monday.
ROUGE-L Score: 100.00%
BERTScore: 100.00%

Input: Category: shutters, Subcategory: cellar, Action: statusquery, Sentence: Observe cellar shades status
Expected: Shades status observed
Generated: Shades status observed.
ROUGE-L Score: 100.00%
BERTScore: 99.06%

Input: Category: camera, Subcategory: toilet, Action: on, Sentence: Enable toilet camera at six o'clock
Expected: Toilet camera will be turned on at six o'clock.
Generated: Toilet camera will be turned on at 6:00 PM.
ROUGE-L Score: 70.00%
BERTScore: 96.33%

Input: Category: camera, Subcategory: all, Action: statusquery, Sentence: Analyze all camera performance
Expected: Performance analyzed
Generated: Performance analyzed for all cameras.
ROUGE-L Score: 57.14%
BERTScore: 90.55%

Input: Category: lights, Subcategory: bathroom, Action: off, Sentence: Stop bathroom lighting
Expected: Bathroom lighting stopped
Generated: Bathroom lighting stopped.
ROUGE-L Score: 100.00%
BERTScore: 97.08%

Input: Category: music, Subcategory: power, Action: turnon, Sentence: Power on music system at 8 AM
Expected: Player will power up at 8 AM.
Generated: Music system will power on at eight.
ROUGE-L Score: 42.86%
BERTScore: 94.71%

Input: Category: music, Subcategory: schedule, Action: stop, Sentence: Deactivate schedule now
Expected: Schedule deactivated now
Generated: Schedule deactivated now.
ROUGE-L Score: 100.00%
BERTScore: 99.15%

Input: Category: music, Subcategory: playlist, Action: reorder, Sentence: Change track order after 1 hour
Expected: Track order will change after 1 hour. 
Generated: Playlist will reorder after one hour.
ROUGE-L Score: 46.15%
BERTScore: 92.06%

Input: Category: music, Subcategory: artist, Action: check, Sentence: Is the artist playing live?
Expected: Artist is playing live now.
Generated: The artist is performing live
ROUGE-L Score: 60.00%
BERTScore: 85.15%

Input: Category: lights, Subcategory: living room, Action: on, Sentence: Turn on living room lights at eight o'clock
Expected: Living room lights will be turned on at eight o'clock.
Generated: Living-room lights will be turned on at 8:00.
ROUGE-L Score: 76.19%
BERTScore: 95.24%

Input: Category: lights, Subcategory: bathroom, Action: on, Sentence: Light up bathroom
Expected: Bathroom lit up
Generated: Bathroom lit up.
ROUGE-L Score: 100.00%
BERTScore: 96.06%

Input: Category: lights, Subcategory: cellar, Action: on, Sentence: Can you make it less dark in the cellar in 85 minutes?
Expected: Brightening the cellar in 85 minutes.
Generated: Brightening the cellar now
ROUGE-L Score: 60.00%
BERTScore: 93.03%

Input: Category: music, Subcategory: podcast, Action: skip, Sentence: Advance to next episode immediately
Expected: Next episode advanced immediately
